time (sec) 	Integral(3.131,2.927)	A+B*x A= 10.0498 B= 0.000526739	
0	9.34343	10.0498	
93	7.49807	10.0988	
182	10.6728	10.1457	
271	10.8446	10.1926	
364	11.083	10.2416	
454	9.0831	10.289	
543	10.1095	10.3359	
635	8.73351	10.3843	
727	10.8816	10.4328	
816	9.52269	10.4797	
908	10.4951	10.5281	
999	8.14136	10.576	
1088	11	10.6229	
1180	10.3352	10.6714	
1269	9.54507	10.7183	
1361	10.0109	10.7667	
1453	10.43	10.8152	
1542	10.5199	10.8621	
1641	11.3316	10.9142	
1733	9.33646	10.9627	
1825	12.1111	11.0111	
1922	7.95025	11.0622	
2010	10.2359	11.1086	
2100	10.2645	11.156	
2189	10.3529	11.2029	
2281	11.2504	11.2513	
2372	10.3327	11.2993	
2462	6.88416	11.3467	
2553	6.99209	11.3946	
2642	5.86305	11.4415	
2734	11.2742	11.4899	
2825	11.0097	11.5379	
2917	11.6656	11.5863	
3007	9.95996	11.6337	
3097	10.1154	11.6811	
3189	7.84931	11.7296	
3280	9.19908	11.7775	
3372	10.2927	11.826	
3462	11.0073	11.8734	
3552	12.2679	11.9208	
3641	10.5502	11.9677	
3732	8.91849	12.0156	
3821	11.21	12.0625	
3913	9.65476	12.111	
4002	12.4135	12.1578	
4094	11.6196	12.2063	
4184	10.0481	12.2537	
4275	11.3495	12.3016	
4367	9.55513	12.3501	
4456	12.6996	12.397	
4548	8.73952	12.4454	
4639	11.5068	12.4934	
4731	9.43132	12.5418	
4820	12.1727	12.5887	
4910	11.8278	12.6361	
5003	12.1097	12.6851	
5095	10.8548	12.7336	
5188	6.88932	12.7826	
5278	5.96657	12.83	
5372	11.734	12.8795	
5461	8.96484	12.9264	
5554	9.73013	12.9753	
5644	6.72686	13.0227	
5734	11.2368	13.0702	
5822	11.0025	13.1165	
5911	12.1402	13.1634	
6001	10.8655	13.2108	
6092	11.6051	13.2587	
6183	10.8871	13.3067	
6279	14.1063	13.3572	
6368	12.5843	13.4041	
6457	11.8316	13.451	
6549	13.6152	13.4994	
6640	13.3157	13.5474	
6731	11.6984	13.5953	
6819	11.5687	13.6417	
6910	11.1385	13.6896	
7001	11.6179	13.7375	
7094	14.4307	13.7865	
7183	14.2726	13.8334	
7275	13.9074	13.8819	
7365	10.4139	13.9293	
7456	14.021	13.9772	
7548	13.5869	14.0257	
7642	12.0911	14.0752	
7734	11.026	14.1236	
7823	5.54054	14.1705	
7915	13.1641	14.219	
8006	14.9347	14.2669	
8099	12.7873	14.3159	
8191	12.5043	14.3644	
8282	13.9849	14.4123	
8376	12.5834	14.4618	
8469	9.39011	14.5108	
8561	11.6501	14.5592	
8650	13.8889	14.6061	
8738	15.6109	14.6525	
8829	14.1639	14.7004	
8917	12.4562	14.7468	
9009	14.7132	14.7952	
9099	15.0779	14.8426	
9192	13.401	14.8916	
9279	13.916	14.9374	
9373	15.2579	14.987	
9463	14.6339	15.0344	
9563	15.6843	15.087	
9653	14.5125	15.1344	
9742	12.2522	15.1813	
9831	13.4086	15.2282	
9920	14.1562	15.2751	
10011	15.2209	15.323	
10099	14.3783	15.3694	
10189	13.8612	15.4168	
10281	13.4115	15.4652	
10371	14.1697	15.5126	
10461	15.0706	15.5601	
10551	13.1654	15.6075	
10644	15.4289	15.6564	
10736	13.4752	15.7049	
10827	14.9734	15.7528	
10917	14.4916	15.8002	
11007	15.194	15.8477	
11095	15.6079	15.894	
11188	14.7223	15.943	
11277	14.7972	15.9899	
11365	14.8441	16.0362	
11462	15.3356	16.0873	
11552	14.6156	16.1347	
11645	17.0087	16.1837	
11739	14.8292	16.2332	
11833	16.8997	16.2827	
11926	16.4769	16.3317	
12016	15.3482	16.3791	
12108	15.693	16.4276	
12197	17.042	16.4745	
12287	14.7521	16.5219	
12380	17.0896	16.5709	
12470	17.6725	16.6183	
12562	15.8423	16.6667	
12653	15.2501	16.7147	
12744	15.7896	16.7626	
12837	17.7298	16.8116	
12929	17.6616	16.86	
13019	17.4522	16.9075	
13111	17.2984	16.9559	
13200	11.0599	17.0028	
13292	16.9177	17.0513	
13385	16.3734	17.1002	
13474	15.4605	17.1471	
13563	17.1576	17.194	
13652	17.9068	17.2409	
13742	16.7697	17.2883	
13834	18.3788	17.3367	
13925	16.4053	17.3847	
14014	19.0816	17.4316	
14102	17.3328	17.4779	
14192	18.6869	17.5253	
14281	16.8324	17.5722	
14372	18.2503	17.6201	
14461	17.2323	17.667	
14552	19.6904	17.7149	
14642	21.1327	17.7623	
14732	17.4479	17.8098	
14822	18.7052	17.8572	
14914	17.2573	17.9056	
15002	19.0849	17.952	
15093	17.5643	17.9999	
15184	17.644	18.0478	
15276	18.336	18.0963	
15366	12.7023	18.1437	
15455	18.9885	18.1906	
15545	14.6625	18.238	
15634	16.1441	18.2849	
15723	20.0611	18.3318	
15815	17.8665	18.3802	
15906	18.4114	18.4281	
15994	17.8312	18.4745	
16083	19.2491	18.5214	
16172	19.6372	18.5683	
16261	18.3984	18.6151	
16354	18.7525	18.6641	
16447	15.5791	18.7131	
16538	18.84	18.761	
16638	20.0593	18.8137	
16727	20.4026	18.8606	
16820	18.9575	18.9096	
16912	18.734	18.958	
17001	18.6627	19.0049	
17097	-5.45344	19.0555	
17185	20.5062	19.1018	
17283	21.0577	19.1535	
17374	21.1514	19.2014	
17466	21.9189	19.2499	
17555	18.7371	19.2967	
17645	19.1419	19.3441	
17733	20.4142	19.3905	
17821	21.6868	19.4369	
17915	19.5067	19.4864	
18006	21.6086	19.5343	
18096	20.118	19.5817	
18185	21.0202	19.6286	
18279	18.3954	19.6781	
18371	20.0634	19.7266	
18461	19.7415	19.774	
18555	19.5424	19.8235	
18647	18.7317	19.8719	
18736	19.7627	19.9188	
18826	19.8688	19.9662	
18918	19.8909	20.0147	
19009	22.0467	20.0626	
19100	23.034	20.1106	
19190	18.6971	20.158	
19279	22.4408	20.2048	
19369	19.6626	20.2522	
19459	20.5136	20.2997	
19550	23.0382	20.3476	
19643	20.7307	20.3966	
19735	21.3053	20.445	
19827	21.1674	20.4935	
19919	20.9028	20.542	
20011	21.5718	20.5904	
20102	21.7546	20.6383	
20191	22.4085	20.6852	
20283	23.0014	20.7337	
20372	21.2131	20.7806	
20461	21.7954	20.8274	
20551	21.6456	20.8749	
20640	21.322	20.9217	
20732	22.0167	20.9702	
20824	23.8502	21.0187	
20913	23.1863	21.0655	
21006	22.2897	21.1145	
21096	21.4543	21.1619	
21187	21.0794	21.2099	
21277	21.9766	21.2573	
21367	23.2387	21.3047	
21455	23.5387	21.351	
21547	24.4444	21.3995	
21619	21.9244	21.4374	
21718	22.8795	21.4896	
21810	24.3889	21.538	
21902	25.6499	21.5865	
21996	23.7003	21.636	
22088	22.237	21.6844	
22177	23.522	21.7313	
22267	22.8917	21.7787	
22357	25.2314	21.8261	
22448	21.6628	21.8741	
22538	23.762	21.9215	
22630	22.505	21.9699	
22720	20.4871	22.0173	
22810	24.039	22.0648	
22900	22.2063	22.1122	
22992	23.0119	22.1606	
23085	26.1907	22.2096	
23174	25.2568	22.2565	
23266	25.2094	22.3049	
23358	23.81	22.3534	
23448	23.9344	22.4008	
23540	23.5048	22.4493	
23632	22.1829	22.4977	
23724	24.4092	22.5462	
23813	24.327	22.5931	
23905	24.5386	22.6415	
23995	25.3333	22.6889	
24087	23.2061	22.7374	
24176	24.1508	22.7843	
24266	23.8714	22.8317	
24357	26.9657	22.8796	
24449	23.9477	22.9281	
24542	24.5842	22.9771	
24631	23.4455	23.0239	
24723	24.1049	23.0724	
24815	24.9812	23.1209	
24905	24.0278	23.1683	
24993	26.5695	23.2146	
25083	23.9579	23.262	
25172	26.484	23.3089	
25264	25.033	23.3574	
25354	25.6224	23.4048	
25443	26.4603	23.4517	
25535	21.0967	23.5001	
25627	24.1246	23.5486	
25720	23.6913	23.5976	
25809	25.23	23.6444	
25898	25.052	23.6913	
25989	24.6256	23.7393	
26080	25.5127	23.7872	
26169	27.1221	23.8341	
26261	25.259	23.8825	
26350	23.9334	23.9294	
26441	27.0596	23.9773	
26530	24.8999	24.0242	
26619	26.3814	24.0711	
26710	27.4183	24.119	
26802	25.4392	24.1675	
26893	27.8788	24.2154	
26986	25.4842	24.2644	
27077	24.9321	24.3124	
27170	25.4171	24.3613	
27260	24.5003	24.4087	
27349	25.8104	24.4556	
27441	26.6067	24.5041	
27532	25.0695	24.552	
27622	25.7999	24.5994	
27714	27.1053	24.6479	
