#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(1.36000000,1.16000000)","",
1,0.00000000,143.22002497,0.00000000,0.00000000,0.00000000,170.14865688,0.00000000,18.87596882,0.00000000,
2,1.00000000,194.14383679,0.00000000,0.00000000,0.00000000,191.85709063,0.00000000,25.41092938,0.00000000,
3,2.00000000,227.24371340,0.00000000,0.00000000,0.00000000,197.68945731,0.00000000,30.05995172,0.00000000,
4,3.00000000,251.35170892,0.00000000,0.00000000,0.00000000,198.39100776,0.00000000,32.56050391,0.00000000,
5,4.00000000,265.89764737,0.00000000,0.00000000,0.00000000,197.04606092,0.00000000,34.82490539,0.00000000,
6,5.00000000,272.10346111,0.00000000,0.00000000,0.00000000,194.64901456,0.00000000,37.95501952,0.00000000,
7,6.00000000,274.86837621,0.00000000,0.00000000,0.00000000,193.27813801,0.00000000,39.30848165,0.00000000,
8,7.00000000,279.03723762,0.00000000,0.00000000,0.00000000,191.42226861,0.00000000,39.72446524,0.00000000,
9,8.00000000,281.69192650,0.00000000,0.00000000,0.00000000,190.62085175,0.00000000,42.92044324,0.00000000,
10,9.00000000,283.51152933,0.00000000,0.00000000,0.00000000,189.64814297,0.00000000,44.22639909,0.00000000,
11,10.00000000,280.57115170,0.00000000,0.00000000,0.00000000,187.77113869,0.00000000,47.00188640,0.00000000,
12,11.00000000,280.85885801,0.00000000,0.00000000,0.00000000,187.92789545,0.00000000,45.44914668,0.00000000,
13,12.00000000,279.62496996,0.00000000,0.00000000,0.00000000,186.50230438,0.00000000,44.36733914,0.00000000,
14,13.00000000,279.14338559,0.00000000,0.00000000,0.00000000,187.57999826,0.00000000,48.75981728,0.00000000,
15,14.00000000,276.30114336,0.00000000,0.00000000,0.00000000,185.15168486,0.00000000,46.86179612,0.00000000,
16,15.00000000,277.57434253,0.00000000,0.00000000,0.00000000,185.97864491,0.00000000,48.35291582,0.00000000,
17,16.00000000,276.30577094,0.00000000,0.00000000,0.00000000,185.38472001,0.00000000,47.89535352,0.00000000,
