;produkt;produkt;produkt;produkt;silan;silan;silan;heksen;heksen;heksen;heksen;heksen;all;product sum;silane sum;hexene sum
czas (s);Integral(3,343730,3,256018);Integral(3,722376,3,681636);Integral(3,756886,3,722376);Integral(4,078496,3,994139);Integral(3,406997,3,343730);Integral(3,832615,3,756886);Integral(6,564104,6,422073);Integral(3,679897,3,599926);Integral(4,129027,4,079348);Integral(4,857709,4,668059);Integral(7,838666,7,616258);Integral(8,647265,8,440374);Integral(10,387961,2,952301);;;
0;76,837;38,7777;127,179;94,5275;233,888;308,824;28,0047;143,828;106,908;97,2248;65,5215;23,1768;2459,55;337,3212;570,7167;436,6591
5;127,751;58,7021;192,77;149,415;344,044;451,091;46,2552;224,212;159,049;149,514;109,78;40,4656;3957,45;528,6381;841,3902;683,0206
10;145,4;62,2559;221,616;180,736;399,497;549,289;57,8852;259,048;184,98;177,654;137,207;51,5652;4884,94;610,0079;1006,6712;810,4542
15;156,843;62,6895;240,469;200,3;420,362;589,539;64,7995;277,524;192,953;191,206;153,787;58,673;5466,91;660,3015;1074,7005;874,143
20;166,397;64,3786;252,749;212,516;425,492;603,458;69,1913;287,786;193,554;196,948;163,922;63,8659;5852,74;696,0406;1098,1413;906,0759
25;171,695;67,0788;257,546;219,681;426,696;610,096;71,6752;293,124;193,118;199,827;169,519;67,276;6114,44;716,0008;1108,4672;922,864
30;179,588;69,884;262,766;223,555;425,268;605,374;73,2162;296,579;189,694;199,838;173,083;69,5893;6294,61;735,793;1103,8582;928,7833
35;177,246;69,1658;265,846;226,812;423,004;605,816;73,9601;294,211;189,403;200,679;174,683;71,3446;6414;739,0698;1102,7801;930,3206
40;184,592;71,9369;269,952;229,057;421,257;600,119;74,5249;299,237;186,634;200,347;175,989;72,3203;6517,97;755,5379;1095,9009;934,5273
45;186,605;72,4657;274,217;232,526;419,528;599,462;75,33;298,055;186,296;201,651;177,561;73,3206;6611,56;765,8137;1094,32;936,8836
50;189,967;75,806;273,714;234,494;420,384;599,809;76,271;300,708;185,694;202,29;179,136;74,2056;6693,42;773,981;1096,464;942,0336
55;193,199;76,3554;278,176;236,569;421,434;601,183;77,957;302,809;186,23;204,036;182,746;76,3683;6802,11;784,2994;1100,574;952,1893
60;203,248;78,8172;283,906;239,573;421,093;594,191;79,2632;309,56;183,869;203,976;186,052;78,917;6899,04;805,5442;1094,5472;962,374
65;189,537;76,384;277,027;238,515;424,968;608,513;79,0642;301,416;189,273;205,787;186,104;80,2555;6907,87;781,463;1112,5452;962,8355
70;191,34;76,2138;279,522;239,939;424,726;607,024;79,3784;303,608;188,795;206,572;186,286;79,413;6933,82;787,0148;1111,1284;964,674
75;192,113;77,4011;279,093;240,585;425,51;608,753;79,4694;303,464;188,896;206,923;186,833;79,9918;6960,05;789,1921;1113,7324;966,1078
80;197,851;78,1506;283,037;242,005;423,232;604,1;79,5813;306,233;186,812;206,487;186,174;78,3502;6973,23;801,0436;1106,9133;964,0562
85;199,327;78,7411;283,809;242,405;424,212;603,228;79,7058;308,288;186,658;206,819;186,605;78,6008;6988,79;804,2821;1107,1458;966,9708
90;195,238;77,2409;281,811;241,268;425,361;608,191;79,608;304,747;188,021;207,098;186,581;79,1061;6990,45;795,5579;1113,16;965,5531
95;195,908;77,6312;282,524;242,816;426,722;609,049;80,0809;306,951;188,648;208,34;187,539;79,1973;7013,87;798,8792;1115,8519;970,6753
100;201,035;78,8206;284,527;243,971;425,772;604,786;80,4575;310,754;187,015;207,641;188,355;80,0057;7032,84;808,3536;1111,0155;973,7707
105;190,982;76,4961;278,893;242,21;429,795;615,15;80,4401;305,229;190,971;208,248;188,857;81,7734;7025,62;788,5811;1125,3851;975,0784
110;196,561;76,8438;282,495;242,387;426,704;608,759;79,7864;307,431;187,899;207,342;187,02;78,7427;7011,29;798,2868;1115,2494;968,4347
115;197,332;77,4508;282,751;242,787;424,809;606,225;79,5111;307,203;187,003;206,903;186,019;78,7741;6992,37;800,3208;1110,5451;965,9021
120;201,052;77,8979;284,357;242,228;422,716;601,286;79,0628;308,75;184,83;205,885;185,768;78,4452;6985,7;805,5349;1103,0648;963,6782
125;194,631;77,1847;281,503;241,162;424,254;606,984;78,9027;302,787;187,149;206,221;185,247;78,6931;6971,84;794,4807;1110,1407;960,0971
130;193,976;76,711;280,209;240,589;423,288;606,359;78,4912;303,318;186,614;205,415;184,033;78,1477;6956,55;791,485;1108,1382;957,5277
135;200,621;78,206;282,859;240,433;421,157;599,156;78,2193;307,178;183,411;203,973;183,445;77,6164;6947,82;802,119;1098,5323;955,6234
140;187,879;75,1125;276,53;238,148;424,211;609,696;77,5358;300,146;187,993;204,528;182,576;77,9044;6911,54;777,6695;1111,4428;953,1474
145;193,385;75,7826;281,496;238,916;421,256;602,166;77,0002;302,344;184,996;203,867;181,033;75,6954;6893,88;789,5796;1100,4222;947,9354
150;196,827;78,2122;278,162;237,95;422,032;601,931;76,9865;305,794;184,208;203,007;180,775;76,1629;6889,21;791,1512;1100,9495;949,9469
155;192,818;76,9014;278,171;238,519;420,418;602,938;76,4729;300,691;184,755;203,176;179,809;75,3842;6862,06;786,4094;1099,8289;943,8152
160;195,087;77,5266;279,934;239,23;418,44;598,873;76,2248;302,486;183,297;202,763;178,895;74,4875;6847,75;791,7776;1093,5378;941,9285
165;194,833;77,6233;278,729;239,587;419,712;600,987;76,4319;302,977;183,909;203,314;179,141;74,6613;6853,73;790,7723;1097,1309;944,0023
