ARR_DATA(I)			Integral(5.434,5.394)				Integral(5.255,5.224)				Integral(4.671,4.619)		Integral(4.027,3.987)		
0	0	0	128.635	0	0	0	29.5576	0	0	0	302.177	0	17.3021	0	
93	0	0	129.005	0	0	0	30.0569	0	0	0	304.892	0	17.5351	0	
182	0	0	129.095	0	0	0	30.3716	0	0	0	301.542	0	17.1749	0	
271	0	0	129.055	0	0	0	30.3476	0	0	0	299.768	0	17.2261	0	
364	0	0	129.095	0	0	0	30.604	0	0	0	301.899	0	17.5485	0	
454	0	0	128.74	0	0	0	30.2669	0	0	0	301.314	0	17.4666	0	
543	0	0	129.004	0	0	0	30.8736	0	0	0	301.029	0	17.633	0	
635	0	0	129.04	0	0	0	30.9974	0	0	0	303.995	0	17.6314	0	
727	0	0	128.555	0	0	0	30.8015	0	0	0	302.354	0	17.91	0	
816	0	0	128.354	0	0	0	30.7844	0	0	0	299.793	0	17.8584	0	
908	0	0	128.342	0	0	0	30.9738	0	0	0	300.747	0	17.9029	0	
999	0	0	128.052	0	0	0	30.6683	0	0	0	299.703	0	17.5124	0	
1088	0	0	128.394	0	0	0	31.3264	0	0	0	299.797	0	18.1635	0	
1180	0	0	128.441	0	0	0	31.336	0	0	0	299.617	0	17.8235	0	
1269	0	0	127.794	0	0	0	31.2291	0	0	0	302.175	0	18.3496	0	
1361	0	0	128.476	0	0	0	32.0224	0	0	0	301.908	0	18.3986	0	
1453	0	0	128.096	0	0	0	31.6329	0	0	0	302.553	0	18.4784	0	
1542	0	0	127.52	0	0	0	31.1055	0	0	0	296.897	0	18.17	0	
1641	0	0	127.612	0	0	0	31.6417	0	0	0	301.282	0	18.5189	0	
1733	0	0	127.725	0	0	0	31.9775	0	0	0	300.927	0	18.6168	0	
1825	0	0	127.922	0	0	0	32.0355	0	0	0	301.935	0	18.7099	0	
1922	0	0	128.428	0	0	0	33.4661	0	0	0	313.953	0	19.0258	0	
2010	0	0	127.488	0	0	0	31.6099	0	0	0	298.601	0	18.6168	0	
2100	0	0	127.105	0	0	0	31.8379	0	0	0	298.761	0	18.5792	0	
2189	0	0	127.256	0	0	0	31.9933	0	0	0	300.493	0	18.9704	0	
2281	0	0	127.124	0	0	0	32.1829	0	0	0	301.808	0	19.138	0	
2372	0	0	127.161	0	0	0	32.1783	0	0	0	300.157	0	18.7227	0	
2462	0	0	127.33	0	0	0	32.9446	0	0	0	304.326	0	19.5736	0	
