ARR_DATA(I)	Integral(5.444,5.381)		Integral(5.258,5.220)		Integral(4.667,4.622)		Integral(4.013,3.980)		
0	50.938	0	0.0560519	0	0.0089122	0	0.0532067	0	
93	50.8876	0	0.0811853	0	0.0100483	0	0.113395	0	
182	50.8332	0	0.103627	0	0.00958562	0	0.118683	0	
271	50.9525	0	0.123608	0	0.00939351	0	0.12044	0	
364	50.8683	0	0.12954	0	0.00998188	0	0.143952	0	
454	50.6682	0	0.14158	0	0.00959397	0	0.157803	0	
543	50.5849	0	0.158718	0	0.00989478	0	0.137409	0	
635	50.6086	0	0.174806	0	0.0108027	0	0.200657	0	
727	50.5747	0	0.189563	0	0.00976625	0	0.213035	0	
816	50.5526	0	0.197901	0	0.0104345	0	0.201174	0	
908	50.4383	0	0.215576	0	0.0106892	0	0.221029	0	
999	50.3697	0	0.228235	0	0.0109895	0	0.279952	0	
1088	50.3548	0	0.227356	0	0.0106527	0	0.31589	0	
1180	50.4109	0	0.257342	0	0.0112393	0	0.30599	0	
1269	50.3113	0	0.268911	0	0.0116901	0	0.303787	0	
1361	50.1784	0	0.301643	0	0.0111973	0	0.227381	0	
1453	50.1574	0	0.297985	0	0.0120888	0	0.391169	0	
1542	50.2397	0	0.305085	0	0.0105896	0	0.44205	0	
1641	49.9461	0	0.319695	0	0.0118096	0	0.495337	0	
1733	49.9848	0	0.322666	0	0.0123971	0	0.436613	0	
1825	49.8004	0	0.353282	0	0.0119153	0	0.516421	0	
1922	46.0672	0	0.360202	0	0.0144559	0	0.555773	0	
2010	49.9289	0	0.371111	0	0.0119501	0	0.649984	0	
2100	46.017	0	0.3853	0	0.0123211	0	0.573411	0	
2189	48.5283	0	0.393665	0	0.0126388	0	0.68966	0	
2281	49.6082	0	0.400471	0	0.0127228	0	0.716912	0	
2372	49.6511	0	0.406282	0	0.0134793	0	0.741921	0	
2462	49.5759	0	0.436411	0	0.0135612	0	0.833581	0	
2553	45.5031	0	0.431949	0	0.0138082	0	0.731001	0	
2642	48.2121	0	0.461401	0	0.0136477	0	0.756051	0	
2734	49.2953	0	0.457969	0	0.0143156	0	0.813821	0	
