0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,silan,silan,silan,penten,penten,penten,penten,produkt suma,silan suma,penten suma,cale widmo
,Y ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,,,,
czas (s),"Integral(0.636757,0.572970)","Integral(0.889757,0.814595)","Integral(0.982024,0.932107)","Integral(1.046604,0.985144)","Integral(1.263743,1.196043)","Integral(1.345170,1.269046)","Integral(1.458730,1.384479)","Integral(1.549517,1.479633)","Integral(1.635311,1.553885)","Integral(0.708841,0.638108)","Integral(1.108528,1.048454)","Integral(3.920281,3.598789)","Integral(1.012637,0.971353)","Integral(1.685043,1.598012)","Integral(2.106522,1.964386)","Integral(5.596931,5.302060)",,,,"Integral(7.350003,0.326339)"
0,199.319,-1.94766,42.418,803.541,3.69882,2.6105,0.95482,0.583516,1.36656,475.209,444.606,155.405,254.1,260.744,164.161,129.788,1052.544556,1075.22,808.793,3495.39
5,252.331,-2.48303,58.3325,1005.59,4.57622,3.15804,0.907674,0.172225,1.59909,602.948,571.471,172.377,332.551,344.887,219.849,176.135,1324.183719,1346.796,1073.422,4544.51
10,280.84,-2.99869,67.9825,1131.49,4.94761,2.89005,0.672081,-0.160633,1.57558,664.888,622.286,173.977,379.302,395.381,254.031,205.824,1487.238498,1461.151,1234.538,5154.86
15,293.02,-3.34637,74.9848,1192.81,5.7451,3.25558,0.195848,-0.117125,1.6094,706.015,663.904,172.432,412.525,428.869,276.529,227.461,1568.157233,1542.351,1345.384,5563.57
20,304.071,-3.34321,80.3992,1240.86,5.1976,3.0817,0.44257,-0.644645,1.83393,716.354,658.511,169.326,430.757,446.76,288.863,240.596,1631.898145,1544.191,1406.976,5794.02
25,301.36,-3.68222,83.1738,1248.71,6.62365,3.28492,-0.22318,-0.259428,2.08268,723.125,665.993,166.053,436.628,453.026,293.5,246.378,1641.070222,1555.171,1429.532,5899.73
30,295.151,-3.11799,82.5581,1247.09,5.72248,3.73553,0.0570373,-0.151753,1.92766,725.167,665.426,163.868,437.548,454.356,294.574,248.808,1632.972064,1554.461,1435.286,5946.69
