saccharose	alpha-glucose	beta-glucose	fructose
50.938	0.0560519	0.0089122	0.0532067
50.8876	0.0811853	0.0100483	0.113395
50.8332	0.103627	0.00958562	0.118683
50.9525	0.123608	0.00939351	0.12044
50.8683	0.12954	0.00998188	0.143952
50.6682	0.14158	0.00959397	0.157803
50.5849	0.158718	0.00989478	0.137409
50.6086	0.174806	0.0108027	0.200657
50.5747	0.189563	0.00976625	0.213035
50.5526	0.197901	0.0104345	0.201174
50.4383	0.215576	0.0106892	0.221029
50.3697	0.228235	0.0109895	0.279952
50.3548	0.227356	0.0106527	0.31589
50.4109	0.257342	0.0112393	0.30599
50.3113	0.268911	0.0116901	0.303787
50.1784	0.301643	0.0111973	0.227381
50.1574	0.297985	0.0120888	0.391169
50.2397	0.305085	0.0105896	0.44205
49.9461	0.319695	0.0118096	0.495337
49.9848	0.322666	0.0123971	0.436613
49.8004	0.353282	0.0119153	0.516421
46.0672	0.360202	0.0144559	0.555773
49.9289	0.371111	0.0119501	0.649984
46.017	0.3853	0.0123211	0.573411
48.5283	0.393665	0.0126388	0.68966
49.6082	0.400471	0.0127228	0.716912
49.6511	0.406282	0.0134793	0.741921
49.5759	0.436411	0.0135612	0.833581
45.5031	0.431949	0.0138082	0.731001
48.2121	0.461401	0.0136477	0.756051
49.2953	0.457969	0.0143156	0.813821
49.3426	0.452412	0.0145266	0.813448
49.2097	0.468726	0.014386	0.827418
47.9053	0.473602	0.0150582	1.03378
49.0521	0.483495	0.0156326	0.908431
45.4735	0.527915	0.0148356	0.993583
49.0743	0.546638	0.0159312	0.863396
48.9747	0.528122	0.0154676	1.06987
48.8895	0.536414	0.0153903	1.15588
48.909	0.536449	0.0160552	1.10596
48.9216	0.567459	0.0159887	1.22654
48.822	0.568727	0.0158787	1.06874
48.8014	0.576888	0.0165091	1.18005
48.644	0.599519	0.0174371	1.24863
48.6614	0.611815	0.0204107	1.22567
48.5403	0.620478	0.0222272	1.32603
48.4733	0.625292	0.0232866	1.35532
44.6758	0.634381	0.0174547	1.38982
47.1079	0.643915	0.0215017	1.45276
44.8611	0.648097	0.0233967	1.38215
48.3886	0.634443	0.0288859	1.56611
48.1948	0.67147	0.0281962	1.5088
48.326	0.681758	0.0328102	1.44254
48.1747	0.684606	0.0340441	1.56936
44.3662	0.7016	0.0344803	1.59112
48.0553	0.703165	0.0354926	1.57696
48.0148	0.713598	0.038108	1.72691
47.9253	0.717309	0.0380363	1.69161
47.887	0.726564	0.0395988	1.60374
47.8573	0.726874	0.0490041	1.80093
47.8535	0.733911	0.0466487	1.81121
47.7094	0.805481	0.0505106	1.74801
39.5657	0.779583	0.0543112	1.74417
47.6022	0.765135	0.0495256	1.79079
39.5946	0.801305	0.0574101	1.80077
47.5424	0.810452	0.0572437	1.97482
47.4782	0.789447	0.0605422	1.92748
47.4237	0.794325	0.0608716	1.91446
47.3435	0.791334	0.0586203	2.01333
47.251	0.798088	0.0654971	1.85588
46.0575	0.815823	0.0676337	2.07411
47.3412	0.817512	0.0727638	1.97865
47.1435	0.860821	0.0756622	2.29631
47.1554	0.869892	0.0745151	2.28141
47.0728	0.842319	0.0850729	2.16371
46.9535	0.873631	0.0842188	2.11457
46.9077	0.856992	0.0843849	2.17483
46.7959	0.926113	0.0857658	2.35155
46.6423	0.866583	0.0865317	2.15875
46.7803	0.908566	0.0876435	2.29406
46.7437	0.893289	0.0969519	2.44201
46.7028	0.935515	0.100143	2.16596
45.233	0.978208	0.100398	2.27262
46.4636	0.938003	0.102971	2.43382
46.4368	0.976567	0.104823	2.34793
46.4092	0.918866	0.102221	2.47684
46.2339	0.915929	0.10635	2.63517
45.0473	0.928487	0.109208	2.40015
42.7036	0.945174	0.115279	2.63485
46.1914	0.977291	0.112633	2.68482
44.8261	0.975728	0.113764	2.80619
46.0431	0.994031	0.120072	2.78557
46.0805	0.992117	0.121916	2.45952
41.5273	0.975822	0.125568	2.85056
46.0107	0.975642	0.131183	2.75997
