sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"ARR_DATA(I)","Integral(5.44040184,5.39316392)","","Integral(5.26046627,5.21905797)","","Integral(4.67084105,4.62131936)","","Integral(4.01091143,3.98242444)","",
1,0.00000000,51.04916727,0.00000000,0.04871046,0.00000000,0.01036439,0.00000000,0.02910472,0.00000000,
2,93.00000000,50.98650513,0.00000000,0.07565500,0.00000000,0.01141106,0.00000000,0.07408412,0.00000000,
3,182.00000000,50.93222148,0.00000000,0.09831815,0.00000000,0.00985545,0.00000000,0.07764664,0.00000000,
4,271.00000000,51.07641386,0.00000000,0.11805865,0.00000000,0.01068694,0.00000000,0.06718000,0.00000000,
5,364.00000000,50.98601881,0.00000000,0.12292675,0.00000000,0.01084849,0.00000000,0.07841525,0.00000000,
6,454.00000000,50.75755976,0.00000000,0.13390297,0.00000000,0.01086562,0.00000000,0.11254409,0.00000000,
7,543.00000000,50.67064033,0.00000000,0.15224049,0.00000000,0.01108835,0.00000000,0.10012310,0.00000000,
8,635.00000000,50.71678925,0.00000000,0.16654425,0.00000000,0.01218094,0.00000000,0.13557572,0.00000000,
9,727.00000000,50.68598101,0.00000000,0.18288770,0.00000000,0.01058502,0.00000000,0.16207099,0.00000000,
10,816.00000000,50.66314181,0.00000000,0.19015393,0.00000000,0.01088440,0.00000000,0.14609011,0.00000000,
11,908.00000000,50.53921597,0.00000000,0.20873002,0.00000000,0.01316182,0.00000000,0.17212445,0.00000000,
12,999.00000000,50.47270876,0.00000000,0.22069658,0.00000000,0.01107010,0.00000000,0.23790649,0.00000000,
13,1088.00000000,50.45371351,0.00000000,0.21937913,0.00000000,0.01177269,0.00000000,0.25055765,0.00000000,
14,1180.00000000,50.52086052,0.00000000,0.24951189,0.00000000,0.01206518,0.00000000,0.23436860,0.00000000,
15,1269.00000000,50.42713515,0.00000000,0.26054106,0.00000000,0.01163076,0.00000000,0.23476722,0.00000000,
16,1361.00000000,50.29691019,0.00000000,0.29486059,0.00000000,0.01158607,0.00000000,0.16261555,0.00000000,
17,1453.00000000,50.27162454,0.00000000,0.28977253,0.00000000,0.01319510,0.00000000,0.32107264,0.00000000,
18,1542.00000000,50.36855133,0.00000000,0.29735983,0.00000000,0.01085775,0.00000000,0.36462001,0.00000000,
19,1641.00000000,50.03460076,0.00000000,0.31281888,0.00000000,0.01313921,0.00000000,0.41643280,0.00000000,
20,1733.00000000,50.09711620,0.00000000,0.31484780,0.00000000,0.01268651,0.00000000,0.35995363,0.00000000,
21,1825.00000000,49.89034698,0.00000000,0.34476229,0.00000000,0.01210146,0.00000000,0.43667565,0.00000000,
22,1922.00000000,45.92128635,0.00000000,0.35207006,0.00000000,0.01471996,0.00000000,0.48933239,0.00000000,
23,2010.00000000,50.03137615,0.00000000,0.36261488,0.00000000,0.01182006,0.00000000,0.56081356,0.00000000,
24,2100.00000000,45.87630682,0.00000000,0.37614997,0.00000000,0.01260663,0.00000000,0.48870686,0.00000000,
25,2189.00000000,48.57809819,0.00000000,0.38500649,0.00000000,0.01297626,0.00000000,0.61383741,0.00000000,
26,2281.00000000,49.71689523,0.00000000,0.39256171,0.00000000,0.01337386,0.00000000,0.63854604,0.00000000,
27,2372.00000000,49.76508428,0.00000000,0.39719553,0.00000000,0.01317442,0.00000000,0.67017909,0.00000000,
